Company,Website,Primary_Contact_Email,Location,LinkedIn,Active?,Notes,Contact_Count
Cleveland SHRM,Needs Research,admin@clevelandshrm.com,Cleveland,https://www.linkedin.com/in/quincy-jones,Needs Verification,Not yet verified - requires manual check,1
Cleveland Sex & Intimacy Counseling,Needs Research,admin@clesexandintimacycounseling.com,Cleveland,https://www.linkedin.com/in/brian-steele,Needs Verification,Not yet verified - requires manual check,3
Cleveland Sex Therapy,Needs Research,matt@clevelandsextherapy.com,Cleveland,https://www.linkedin.com/in/elizabeth-day,Needs Verification,Not yet verified - requires manual check,3
Cleveland Stonewall Democrats,Needs Research,president@clevelandstonewalldems.org,Cleveland,https://www.linkedin.com/in/ky-theophanous,Needs Verification,Not yet verified - requires manual check,2
Cleveland Therapy Group,clevelandtherapygroup.com,Info@clevelandtherapygroup.com,Cleveland,https://www.linkedin.com/in/christina-yoo,Active,"Westlake OH, founded 2020, active practice",3
Cleveland Votes,Needs Research,info@clevotes.com,Cleveland,https://www.linkedin.com/in/wendy-bartlett,Needs Verification,Not yet verified - requires manual check,1
Clever Girl Marketing,Needs Research,heather@clevergirlmarketing.com,Cleveland,https://www.linkedin.com/in/jessica-brown,Needs Verification,Not yet verified - requires manual check,1
Cloak & Dagger,Needs Research,info@cloakanddaggercle.com,Cleveland,https://www.linkedin.com/in/ty-bruening,Needs Verification,Not yet verified - requires manual check,2
Colors+ Counseling,Needs Research,admin@colorscounseling.org,Cleveland,https://www.linkedin.com/in/traci-haynes,Needs Verification,Not yet verified - requires manual check,2
"Community Partners Insurance Group, LLC",Needs Research,jessica.mccoy@cpiginsurance.com,Cleveland,https://www.linkedin.com/in/donea-roddy,Needs Verification,Not yet verified - requires manual check,1
"Compass Policy Strategies, LLC",Needs Research,kaiser@compasspolicy.com,Cleveland,https://www.linkedin.com/in/bryanta-spencer,Needs Verification,Not yet verified - requires manual check,1
Conservancy for Cuyahoga Valley National Park,Needs Research,info@forcvnp.org,Cleveland,https://www.linkedin.com/in/hillary-walker,Needs Verification,Not yet verified - requires manual check,5
Cook Insurance Group,Needs Research,rod@cookinsurance.cc,Cleveland,https://www.linkedin.com/in/isaiah-barnett,Needs Verification,Not yet verified - requires manual check,1
Cory Electronics,Needs Research,sales@coryelectronics.com,Cleveland,https://www.linkedin.com/in/courtni-began,Needs Verification,Not yet verified - requires manual check,2
Crack Corn Ltd.,Needs Research,james@crackcorn.com,Cleveland,https://www.linkedin.com/in/kara-wyrock,Needs Verification,Not yet verified - requires manual check,2
Creative Solutions Counseling,Needs Research,allisontpetty@gmail.com,Cleveland,https://www.linkedin.com/in/viraj-bhatt,Needs Verification,Not yet verified - requires manual check,1
Crowbar,Needs Research,austin@crowbar.club,Cleveland,https://www.linkedin.com/in/david-bingle,Needs Verification,Not yet verified - requires manual check,3
DANCECleveland,Needs Research,tremick@dancecleveland.org,Cleveland,https://www.linkedin.com/in/devon-watson,Needs Verification,Not yet verified - requires manual check,3
DJ Nick Duve,Needs Research,nick@djnickduve.com,Cleveland,https://www.linkedin.com/in/tangela-hogue,Needs Verification,Not yet verified - requires manual check,1
DJM Consulting,Needs Research,dj.matheny18@gmail.com,Cleveland,https://www.linkedin.com/in/faryl-hoover,Needs Verification,Not yet verified - requires manual check,2
"DMS, Diversity Management Solutions",Needs Research,donna@diversitymanagementsolutions.com,Cleveland,https://www.linkedin.com/in/frank-hurley,Needs Verification,Not yet verified - requires manual check,1
Dale Dong Photography,Needs Research,daledongphoto@gmail.com,Cleveland,https://www.linkedin.com/in/adam-wasilczuk,Needs Verification,Not yet verified - requires manual check,1
Declutter with Devon LLC,Needs Research,devon.fegen@gmail.com,Cleveland,https://www.linkedin.com/in/mariah-burkes,Needs Verification,Not yet verified - requires manual check,1
Denise Astorino - Realtor - Howard Hanna,Needs Research,deniseastorino@howardhanna.com,Cleveland,https://www.linkedin.com/in/lena-chapin,Needs Verification,Not yet verified - requires manual check,2
"Dezfox, LLC",Needs Research,james@dezfox.com,Cleveland,https://www.linkedin.com/in/toya-jordan,Needs Verification,Not yet verified - requires manual check,1
Dixon Officiant Services,Needs Research,dixonmichelle2011@yahoo.com,Cleveland,https://www.linkedin.com/in/amanda-helinski,Needs Verification,Not yet verified - requires manual check,1
Dobama Theatre,Needs Research,edolan@dobama.org,Cleveland,https://www.linkedin.com/in/lynda-johnson,Needs Verification,Not yet verified - requires manual check,9
Dorian Gray Galleries,Needs Research,DGrayGalleries@gmail.com,Cleveland,https://www.linkedin.com/in/laurel-mesko,Needs Verification,Not yet verified - requires manual check,1
DoubleTree by Hilton - Tudor Arms Hotel Cleveland,Needs Research,Anthony.Cannistra@hilton.com,Cleveland,https://www.linkedin.com/in/rebecca-miklos,Needs Verification,Not yet verified - requires manual check,7
Douglass & Associates Co LPA,douglasslaw.com,d.douglass@douglasslaw.com,Cleveland,https://www.linkedin.com/in/kathy-parker,Active,"Cleveland law firm, founded 1983, active",6
EDEN:Emerald Development & Economic Network,Needs Research,edeninfo@edencle.org,Cleveland,https://www.linkedin.com/in/guy-ryno,Needs Verification,Not yet verified - requires manual check,11
ERIEBANK,eriebank.bank,CustomerServiceCenter@ERIEBANK.bank,Cleveland,https://www.linkedin.com/in/renee-martinez,Active,"Regional bank, multiple Cleveland locations, 501 employees 2025",9
Edward Jones - Gina Betti,Needs Research,gina.betti@edwardjones.com,Cleveland,https://www.linkedin.com/in/christine-walker,Needs Verification,Not yet verified - requires manual check,1
Emma Parker Photography,Needs Research,eparker.photo1@gmail.com,Cleveland,https://www.linkedin.com/in/lorna-wisham,Needs Verification,Not yet verified - requires manual check,1
En@ble Growth LLC,Needs Research,steve@enablegrowth.consulting,Cleveland,https://www.linkedin.com/in/beth-castelucci,Needs Verification,Not yet verified - requires manual check,1
Energetic Awakenings,energeticawakenings.com,david@energeticawakenings.com,Cleveland,https://www.linkedin.com/in/becky-cross,Active,"Cleveland wellness/coaching, LGBT-owned",1
Engage! Cleveland,engagecleveland.org,Michael@engagecleveland.org,Cleveland,https://www.linkedin.com/in/tom-diller,Active,"Young professionals nonprofit, 2025 mentorship programs active",2
Equality Ohio,equalityohio.org,info@equalityohio.org,Cleveland,https://www.linkedin.com/in/ronnie-hubbard,Active,"LGBT advocacy org, Cleveland presence, 2025 activity",12
Equitas Health,equitashealth.com,info@equitashealth.com,Cleveland,https://www.linkedin.com/in/natalie-smith,Active,"LGBT healthcare, nonprofit, serves OH/KY/WV/TX, active",11
Equius Group LLC,Needs Research,erica@equiusgroup.biz,Cleveland,https://www.linkedin.com/in/kim-busser,Needs Verification,Not yet verified - requires manual check,1
Every Angle Photography,Needs Research,everyangle@att.net,Cleveland,https://www.linkedin.com/in/halee-gerenday,Needs Verification,Not yet verified - requires manual check,1
Everybody Cycle,Needs Research,nathan@everybodycycle.com,Cleveland,https://www.linkedin.com/in/emily-lundgard,Needs Verification,Not yet verified - requires manual check,1
FIT Technologies,fittechnologies.com,info@FITtechnologies.com,Cleveland,https://www.linkedin.com/in/laura-christner,Active,"Cleveland IT, founded 1999, employee-owned, ~100 employees",8
Facing History and Ourselves,Needs Research,jessica_guerrieri@facinghistory.org,Cleveland,https://www.linkedin.com/in/anna-richards,Needs Verification,Not yet verified - requires manual check,1
Fairmount Insurance Services,Needs Research,steph.hronek@gmail.com,Cleveland,https://www.linkedin.com/in/sheri-shields,Needs Verification,Not yet verified - requires manual check,1
Fairway Independent Mortgage Corp.,Needs Research,brian.gibson@fairwaymc.com,Cleveland,https://www.linkedin.com/in/patrice-blakemore,Needs Verification,Not yet verified - requires manual check,1
Food for Thought Catering,Needs Research,bmatthew@foodforthought-ohio.com,Cleveland,https://www.linkedin.com/in/amy-patton,Needs Verification,Not yet verified - requires manual check,2
Fostering Hope,Needs Research,a.grassiamefia@fosteringhopeohio.org,Cleveland,https://www.linkedin.com/in/sean-richardson,Needs Verification,Not yet verified - requires manual check,1
Full Color Printings,Needs Research,fullcolorprintings@gmail.com,Cleveland,https://www.linkedin.com/in/amanda-tarnovecky,Needs Verification,Not yet verified - requires manual check,2
GAB INC.,Needs Research,gabby@thegabinc.com,Cleveland,https://www.linkedin.com/in/fran-wahrman,Needs Verification,Not yet verified - requires manual check,2
GLSEN NEO,Needs Research,ktollafi@kent.edu,Cleveland,https://www.linkedin.com/in/adam-flegal,Needs Verification,Not yet verified - requires manual check,4
"Gay Mens Field Guide, LLC",Needs Research,contact@gaymensfieldguide.com,Cleveland,https://www.linkedin.com/in/kelly-davis,Needs Verification,Not yet verified - requires manual check,1
Geauga SOGI Support Network,Needs Research,info@GeaugaSOGI.org,Cleveland,https://www.linkedin.com/in/abbey-geib,Needs Verification,Not yet verified - requires manual check,9
Giant Eagle Inc,Needs Research,renee.richardson@gianteagle.com,Cleveland,https://www.linkedin.com/in/hannah-cessna,Needs Verification,Not yet verified - requires manual check,10
Giardina Capital Management,Needs Research,miriam@giardinacapitalmanagement.com,Cleveland,https://www.linkedin.com/in/allen-scott,Needs Verification,Not yet verified - requires manual check,1
Gina Nicola Enterprises,Needs Research,gina@ginanicola.com,Cleveland,https://www.linkedin.com/in/lavinia-tighe,Needs Verification,Not yet verified - requires manual check,3
Goodwill Industries of Greater Cleveland and East Central Ohio,Needs Research,info@goodwillgoodskills.org,Cleveland,https://www.linkedin.com/in/daleelah-ali,Needs Verification,Not yet verified - requires manual check,3
Greater Akron Chamber,Needs Research,info@greaterakronchamber.org,Akron,https://www.linkedin.com/in/lizzie-bihari,Needs Verification,Not yet verified - requires manual check,8
Greater Cleveland Partnership,Needs Research,eriffle@greatercle.com,Cleveland,https://www.linkedin.com/in/ruby-felton,Needs Verification,Not yet verified - requires manual check,13
Greene River Consulting,Needs Research,ara@greeneriverconsulting.com,Cleveland,https://www.linkedin.com/in/brittny-reeves,Needs Verification,Not yet verified - requires manual check,1
HOLISTIC LAKEWOOD,Needs Research,admin@holisticlakewood.com,Lakewood,https://www.linkedin.com/in/heather-malarcik,Needs Verification,Not yet verified - requires manual check,2
Harrison Latham,Needs Research,aimee@harrisonlatham.com,Cleveland,https://www.linkedin.com/in/michelle-fretwell,Needs Verification,Not yet verified - requires manual check,2
Haus of Transcendent,Needs Research,JLuke@hotcle.org,Cleveland,https://www.linkedin.com/in/megan-baechle,Needs Verification,Not yet verified - requires manual check,2
Hearing Science,Needs Research,joe@hearsci.com,Cleveland,https://www.linkedin.com/in/julie-cowan,Needs Verification,Not yet verified - requires manual check,2
Heights Cooperative Preschool,Needs Research,heightscooppreschool@gmail.com,Cleveland,https://www.linkedin.com/in/melanie-kortyka,Needs Verification,Not yet verified - requires manual check,2
Helene Can Help LLC,Needs Research,hscaniac@gmail.com,Cleveland,https://www.linkedin.com/in/roy-bottiggi,Needs Verification,Not yet verified - requires manual check,2
Hispanic Business Center,Needs Research,RCedeno@hbcenter.org,Cleveland,https://www.linkedin.com/in/lisa-wheller,Needs Verification,Not yet verified - requires manual check,3
Honesty for Ohio Education,Needs Research,info@honestyforohioeducation.org,Cleveland,https://www.linkedin.com/in/benjamin-burney,Needs Verification,Not yet verified - requires manual check,2
Howling Print & Promo,Needs Research,ed@howlingforbusiness.com,Cleveland,https://www.linkedin.com/in/natalie-martin,Needs Verification,Not yet verified - requires manual check,1
Hyland,Needs Research,Courtney.Conn@Hyland.com,Cleveland,https://www.linkedin.com/in/alexandra-hoopes,Needs Verification,Not yet verified - requires manual check,11
INNATE ELECTRIC LLC,Needs Research,innateelectric@gmail.com,Cleveland,https://www.linkedin.com/in/trelle-smith,Needs Verification,Not yet verified - requires manual check,2
IVRL Inc.,Needs Research,hello@ivrl.io,Cleveland,https://www.linkedin.com/in/perren-hedderson,Needs Verification,Not yet verified - requires manual check,1
In Carol's Care,Needs Research,carol@incarolscare.com,Cleveland,https://www.linkedin.com/in/kate-herman,Needs Verification,Not yet verified - requires manual check,1
In Good Company,Needs Research,ingoodcompanywithtess@gmail.com,Cleveland,https://www.linkedin.com/in/larry-booth,Needs Verification,Not yet verified - requires manual check,1
India Ink Tattoo Company,Needs Research,india@indiainked.com,Cleveland,https://www.linkedin.com/in/luis-cruz,Needs Verification,Not yet verified - requires manual check,1
"Its The Body For Me, Fitness",Needs Research,tonyevansjr@yahoo.com,Cleveland,https://www.linkedin.com/in/amani-green,Needs Verification,Not yet verified - requires manual check,1
JToth Creative / JToth Art,Needs Research,jason@jtoth.art,Cleveland,https://www.linkedin.com/in/larisa-catcott,Needs Verification,Not yet verified - requires manual check,1
Janus Small Associates,Needs Research,jsmall@janussmallassociates.com,Cleveland,https://www.linkedin.com/in/emily-schon,Needs Verification,Not yet verified - requires manual check,4
Jason Thompson by Dream Vacations,Needs Research,Ja.fogarty@dreamvacations.com,Cleveland,https://www.linkedin.com/in/stephanie-holmes,Needs Verification,Not yet verified - requires manual check,2
Jennifer Speer Design,Needs Research,jennifer@jenniferspeer.com,Cleveland,https://www.linkedin.com/in/dawn-walcher,Needs Verification,Not yet verified - requires manual check,1
Jilly's Music Room LLC,Needs Research,info@jillysmusicroom.com,Cleveland,https://www.linkedin.com/in/michelle-wilcox,Needs Verification,Not yet verified - requires manual check,2
Jukebox,Needs Research,jukeboxcle@gmail.com,Cleveland,https://www.linkedin.com/in/john-conaway,Needs Verification,Not yet verified - requires manual check,1
Just ACTS LLC,Needs Research,justacts21@gmail.com,Cleveland,https://www.linkedin.com/in/sindy-lopez,Needs Verification,Not yet verified - requires manual check,1
K A S A interiors Staging & Home Services,Needs Research,karasellscle@gmail.com,Cleveland,https://www.linkedin.com/in/kyle-page,Needs Verification,Not yet verified - requires manual check,1
KW Design,Needs Research,info@kwdesigncle.com,Cleveland,https://www.linkedin.com/in/sandy-worona,Needs Verification,Not yet verified - requires manual check,1
Keerie Layne Creative,Needs Research,klaynecreative@gmail.com,Cleveland,https://www.linkedin.com/in/tiffany-pendleton,Needs Verification,Not yet verified - requires manual check,2
Keller Williams Living,Needs Research,carlysablotnyrealtor@gmail.com,Cleveland,https://www.linkedin.com/in/jason-wheaton,Needs Verification,Not yet verified - requires manual check,2
Kendal at Home,Needs Research,lpancio@kahome.kendal.org,Cleveland,https://www.linkedin.com/in/kristin-loveless,Needs Verification,Not yet verified - requires manual check,3
"Kendall Communications, LLC",Needs Research,kyle@kendallcommunications.net,Cleveland,https://www.linkedin.com/in/nikole-baringer,Needs Verification,Not yet verified - requires manual check,1
Kenneth Cameron LLC,Needs Research,ken@selfmade.life,Cleveland,https://www.linkedin.com/in/cheryl-tarantino,Needs Verification,Not yet verified - requires manual check,1
Kent Area Chamber of Commerce,Needs Research,dcampbell@kentbiz.com,Cleveland,https://www.linkedin.com/in/michelle-wolcott,Needs Verification,Not yet verified - requires manual check,1
Kerns Roofing & Restoration,Needs Research,dodgie.f@contractorindependence.com,Cleveland,https://www.linkedin.com/in/juan-collado,Needs Verification,Not yet verified - requires manual check,2
Kim Karbon Photography,Needs Research,KimKarbonPhotography@gmail.com,Cleveland,https://www.linkedin.com/in/hope-fierro,Needs Verification,Not yet verified - requires manual check,2
Kindred Harbor Behavioral Health,Needs Research,mhussein@kindredharbor.org,Cleveland,https://www.linkedin.com/in/charles-kennick,Needs Verification,Not yet verified - requires manual check,1
King Nut Companies,Needs Research,jmkanan@kingnut.com,Cleveland,https://www.linkedin.com/in/maria-sharp,Needs Verification,Not yet verified - requires manual check,1
Kingsville Lodge,Needs Research,kingsvillelodgerentals@gmail.com,Cleveland,https://www.linkedin.com/in/jessica-timms,Needs Verification,Not yet verified - requires manual check,1
LDR Worldwide,Needs Research,plewis@ldrworldwide.com,Cleveland,https://www.linkedin.com/in/sarah-january,Needs Verification,Not yet verified - requires manual check,4
LGBTQIA Coalition,Needs Research,roybottiggi@gmail.com,Cleveland,https://www.linkedin.com/in/treva-offutt,Needs Verification,Not yet verified - requires manual check,1
LOVEboldly,Needs Research,admin@loveboldly.net,Cleveland,https://www.linkedin.com/in/charles-grayer,Needs Verification,Not yet verified - requires manual check,2
Lady Luck Studio LLC,Needs Research,hello@ladyluck.studio,Cleveland,https://www.linkedin.com/in/brendan-zak,Needs Verification,Not yet verified - requires manual check,7
Lago Custom Events,Needs Research,events@lagoeastbank.com,Cleveland,https://www.linkedin.com/in/deb-ward,Needs Verification,Not yet verified - requires manual check,10
Lasting Impressions Event Rental,Needs Research,jacob@lirents.net,Cleveland,https://www.linkedin.com/in/denine-del,Needs Verification,Not yet verified - requires manual check,1
Lavender & Lace Event Rentals,Needs Research,rachel@lavenderandlacerentals.com,Cleveland,https://www.linkedin.com/in/mike-dresch,Needs Verification,Not yet verified - requires manual check,1
Law Enforcement Management Solutions (LEMS),Needs Research,marialloyd@lemsgroup.net,Cleveland,https://www.linkedin.com/in/zack-herdeson,Needs Verification,Not yet verified - requires manual check,3
Leasurely Crafts,Needs Research,leasurelycrafts@gmail.com,Cleveland,https://www.linkedin.com/in/samantha-mobley,Needs Verification,Not yet verified - requires manual check,1
Left of Str8 Media and Consulting,Needs Research,scott@leftofstr8.com,Cleveland,https://www.linkedin.com/in/samantha-payne,Needs Verification,Not yet verified - requires manual check,1
Legal Aid Society of Cleveland,lasclev.org,rquarto@lasclev.org,Cleveland,https://www.linkedin.com/in/carrie-protivnak,Active,"Founded 1905, 120th anniversary 2025, active",7
Leigh Bacho Photography LLC,Needs Research,lauren.bacho@gmail.com,Cleveland,https://www.linkedin.com/in/paige-riggle,Needs Verification,Not yet verified - requires manual check,1
Lepley & Co,Needs Research,lepleyandco@gmail.com,Cleveland,https://www.linkedin.com/in/ms-kandi,Needs Verification,Not yet verified - requires manual check,2
Licursi Bartending & Event Management Services,Needs Research,Daryl@licursibartending.com,Cleveland,https://www.linkedin.com/in/eva-rodgers,Needs Verification,Not yet verified - requires manual check,3
Life Equity LLC,Needs Research,swillkomm@lifeequity.com,Cleveland,https://www.linkedin.com/in/logan-baez,Needs Verification,Not yet verified - requires manual check,2
Liminal Esports LLC dba Snowbright Studio,Needs Research,contact@snowbrightstudio.com,Cleveland,https://www.linkedin.com/in/heather-dodig,Needs Verification,Not yet verified - requires manual check,1
Linear Creative LLC,Needs Research,ray@linearcreative.com,Cleveland,https://www.linkedin.com/in/nicholas-dybo,Needs Verification,Not yet verified - requires manual check,1
Little Rose Tavern,Needs Research,rks0076@yahoo.com,Cleveland,https://www.linkedin.com/in/brendan-foreman,Needs Verification,Not yet verified - requires manual check,1
"Lowe Scott Fisher Co., LPA",Needs Research,marketing@lsflaw.com,Cleveland,https://www.linkedin.com/in/gina-mccarthy,Needs Verification,Not yet verified - requires manual check,1
MB Detailing,Needs Research,molliebitting@gmail.com,Cleveland,https://www.linkedin.com/in/molly-vaughan,Needs Verification,Not yet verified - requires manual check,1
